Mutants,initial biomass,lag,t_max,max_slope,r2,y-intercept,x-intercept
mutant11_antimycinA0.75mgL,0.042666666666667,7,14.625,0.115369696969697,0.999680251773038,-1.13378181818182,9.82737970161799
mutant11_antimycinA0.75mgL,0.064,8.75,15.125,0.117721212121212,0.999624749698892,-1.21533333333333,10.3238261943987
mutant13_antimycinA0.75mgL,0.070666666666667,9,14.875,0.119587878787879,0.999576747274047,-1.1995696969697,10.030863571863
mutant13_antimycinA0.75mgL,0.045666666666667,7,13.875,0.121066666666667,0.99839184685732,-1.1056,9.13215859030837
mutant16_antimycinA0.75mgL,0.031,4.5,14.375,0.115781818181818,0.999163705117483,-1.07956363636364,9.32412060301508
mutant16_antimycinA0.75mgL,0.06,8,14.125,0.116581818181818,0.999078271614122,-1.09081818181818,9.35667498440424
mutant32_antimycinA0.75mgL,0.099,10.75,15.625,0.115442424242424,0.999207565772834,-1.22198787878788,10.5852582948341
mutant32_antimycinA0.75mgL,0.090333333333333,11.75,17.125,0.114375757575758,0.99879621393398,-1.37528484848485,12.0242687579483
mutant32_antimycinA0.75mgL,0.081666666666667,10,15.625,0.1152,0.999246499728389,-1.2304,10.6805555555556
mutant32_antimycinA0.75mgL,0.085333333333333,12,17.375,0.114521212121212,0.999709891100753,-1.43740606060606,12.5514394580864
